px	py	v	yaw	yaw_rate	vx	vy	px_meas	py_meas	x_gt	y_gt	vx_gt	vy_gt	rmse_px	rmse_py	rmse_vx	rmse_vy	nis_lidar	nis_radar
3.48622	17.9439	4.89318	3.91045	0.435945	-3.51677	-3.40228	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	0.05574	0.0930011	0.489114	0.288535	2.59314	3.37978
3.26409	17.7771	4.94183	3.91743	0.41866	-3.52766	-3.46083	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	0.0556174	0.0928019	0.487965	0.287803	1.18265	3.37978
3.0861	17.5939	4.97547	3.94772	0.439424	-3.4445	-3.59037	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	0.0554895	0.0925899	0.486867	0.287099	1.18265	2.43322
2.9055	17.4759	4.94206	3.94795	0.416671	-3.42057	-3.56703	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	0.0553656	0.0925734	0.485728	0.286387	6.12578	2.43322
2.76297	17.2604	4.97292	3.99735	0.4621	-3.26047	-3.7549	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	0.0552371	0.0924246	0.484792	0.285744	6.12578	3.26681
2.58855	17.0754	4.98366	4.01512	0.456068	-3.20015	-3.82046	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.0551079	0.0922757	0.483873	0.285116	0.0800456	3.26681
2.42418	16.908	4.93802	4.01961	0.423602	-3.15381	-3.79967	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	0.0549888	0.0921981	0.482938	0.284413	0.0800456	2.00702
2.25952	16.7356	4.9322	4.03271	0.414952	-3.10012	-3.83613	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.0548761	0.0922013	0.482004	0.283712	0.511888	2.00702
2.08676	16.5398	4.93219	4.04185	0.393462	-3.06491	-3.8643	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	0.0547509	0.0921915	0.481031	0.283021	0.511888	5.03122
1.93264	16.3101	4.96364	4.07006	0.402063	-2.97351	-3.97441	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	0.0546395	0.0920499	0.480146	0.282339	2.27096	5.03122
1.77571	16.1332	4.93175	4.07463	0.3769	-2.93635	-3.96232	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	0.0545336	0.0919851	0.479225	0.281661	2.27096	1.11535
1.57331	15.9645	4.95922	4.06639	0.34671	-2.98544	-3.95993	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	0.0544221	0.0920781	0.478134	0.281037	1.83859	1.11535
1.44647	15.7346	4.99489	4.10674	0.382963	-2.84358	-4.10645	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	0.0542924	0.0920361	0.47719	0.280363	1.83859	1.98
1.2754	15.5176	5.03205	4.11801	0.373614	-2.81794	-4.16903	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.0541721	0.0919481	0.4762	0.279702	0.893273	1.98
1.12059	15.3244	5.02304	4.12484	0.357403	-2.78438	-4.18069	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0.0540632	0.0919197	0.475183	0.279036	0.893273	0.997999
0.912654	15.1074	5.09104	4.1198	0.331008	-2.84339	-4.22302	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	0.0542428	0.0918611	0.474065	0.278374	2.67433	0.997999
0.766498	14.9256	5.04423	4.12018	0.304108	-2.81565	-4.18526	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	0.0544444	0.0919479	0.472947	0.277764	2.67433	2.49003
0.659172	14.7104	5.02169	4.14774	0.317976	-2.68722	-4.24219	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.054443	0.0920265	0.471878	0.277138	0.384393	2.49003
0.547458	14.4703	5.05167	4.18339	0.347989	-2.54944	-4.36116	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	0.0543498	0.0919869	0.470936	0.276495	0.384393	1.70924
0.375016	14.2492	5.09287	4.18453	0.329484	-2.56521	-4.39966	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.0544066	0.0919331	0.469903	0.275858	1.01063	1.70924
0.25644	13.9989	5.15439	4.22073	0.365327	-2.43332	-4.54386	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	0.0543928	0.0917798	0.469005	0.275378	1.01063	3.27572
0.232241	13.75	5.09798	4.27806	0.409239	-2.14523	-4.62464	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	0.0543942	0.091579	0.468859	0.275031	3.49463	3.27572
0.130416	13.5079	5.12986	4.30665	0.425136	-2.02473	-4.71338	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.0545439	0.0913688	0.469051	0.274892	3.49463	1.12572
-0.0337296	13.2788	5.17138	4.30177	0.395118	-2.0643	-4.7415	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	0.0544934	0.0911602	0.468851	0.274745	1.54998	1.12572
-0.150793	13.0594	5.14186	4.30707	0.372462	-2.02748	-4.72526	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	0.0544663	0.090953	0.468618	0.274438	1.54998	0.998964
-0.164442	12.8317	5.07257	4.35714	0.40934	-1.76435	-4.75584	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	0.05534	0.0907471	0.469491	0.274142	3.24328	0.998964
-0.282613	12.6057	5.04779	4.35658	0.376804	-1.75841	-4.73162	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	0.0561996	0.090543	0.470136	0.273705	3.24328	3.53967
-0.400481	12.3699	5.06731	4.36236	0.361571	-1.73772	-4.76004	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.0570235	0.0903398	0.470654	0.27328	0.367056	3.53967
-0.523588	12.1605	5.03986	4.35615	0.328614	-1.75768	-4.72343	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	0.0577289	0.0901479	0.470854	0.272738	0.367056	3.8658
-0.603311	11.9397	5.01917	4.37261	0.329125	-1.6728	-4.73221	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.0588241	0.0899717	0.47128	0.272181	0.528478	3.8658
-0.727657	11.7118	5.02083	4.3673	0.300194	-1.69846	-4.72482	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598	0.0597146	0.0898055	0.471386	0.271597	0.528478	2.8761
-0.917278	11.4692	5.08971	4.33936	0.250164	-1.85488	-4.73968	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628	0.0598453	0.0896272	0.470771	0.271014	4.33189	2.8761
-1.02219	11.243	5.05004	4.33578	0.220385	-1.85724	-4.69612	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549	0.0599869	0.0894647	0.47006	0.270422	4.33189	3.10034
-1.19575	11.0158	5.08998	4.31211	0.180826	-1.98345	-4.68762	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364	0.0598675	0.0893215	0.469081	0.269848	2.48658	3.10034
-1.27627	10.771	5.11392	4.33642	0.206635	-1.8777	-4.75672	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075	0.0597977	0.0891633	0.468203	0.269261	2.48658	1.14994
-1.40463	10.5178	5.15204	4.33444	0.192511	-1.90119	-4.78843	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686	0.0596755	0.0889832	0.467255	0.268681	1.01722	1.14994
-1.49055	10.2569	5.18953	4.35559	0.212245	-1.81256	-4.8627	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198	0.0595764	0.0887913	0.466394	0.268154	1.01722	1.42615
-1.5915	10.0454	5.16163	4.35727	0.202694	-1.79473	-4.83957	-1.61875	10.2374	-1.61797	10.0165	-1.96221	-4.79615	0.0594737	0.0886208	0.465521	0.267593	1.95609	1.42615
-1.68091	9.81526	5.1392	4.36271	0.193969	-1.76067	-4.8282	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939	0.0593893	0.0884678	0.464665	0.267023	1.95609	0.519544
-1.75846	9.59354	5.1116	4.37357	0.19556	-1.69897	-4.82099	-1.73381	9.71347	-1.81147	9.53564	-1.90924	-4.82172	0.0593636	0.0883601	0.463878	0.266454	0.782127	0.519544
-1.86576	9.3433	5.1523	4.37962	0.197368	-1.68307	-4.86964	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316	0.0592965	0.0882303	0.463081	0.2659	0.782127	2.59566
-1.94683	9.05286	5.20337	4.39605	0.204064	-1.61873	-4.94518	-1.93833	8.77028	-1.99998	9.05243	-1.86233	-4.84374	0.0592719	0.088044	0.462374	0.26542	4.1408	2.59566
-2.03411	8.82892	5.1634	4.39501	0.184573	-1.61139	-4.90552	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347	0.0592685	0.0878674	0.461642	0.264883	4.1408	1.81258
-2.13053	8.57714	5.18077	4.39817	0.177615	-1.60126	-4.9271	-2.1768	8.5411	-2.18412	8.56717	-1.82164	-4.86238	0.0592458	0.0876857	0.460896	0.264362	0.1981	1.81258
